ID,Area,City,Restaurant,Price,Avg ratings,Food type,Latitude,Longitude,Geocode Precision
377576,Alwarpet,Chennai,Svah Express,500,4.2,"Indian,Continental,Desserts,Beverages",13.0339,80.254,Locality (matched)
377616,Athwa,Surat,Dilip Dabeli,250,4.2,"Snacks,Chaat,Fast Food",21.178,72.793,Locality (matched)
377625,Near Rto Pal Gam,Surat,Krazzy Chicken,300,2.9,"Biryani,Indian",21.165,72.775,Locality (substring match: 'pal gam')
377778,Central Kolkata,Kolkata,Suman Sweets And Snacks,300,2.9,Sweets  Snacks,22.57,88.355,Locality (matched)
377818,Koramangala,Bangalore,Ruchi Virundu,250,2.9,"Biryani,South Indian",12.9352,77.6245,Locality (matched)
377857,Kirti Nagar,Delhi,Foodiz Dhaba,300,2.9,"Chinese,Indian",28.652,77.149,Locality (matched)
377877,Perambur,Chennai,Ziyach Atho Kadai,200,4.2,"Street Food,Chinese,Indian",13.1155,80.234,Locality (matched)
377889,Central Bangalore,Bangalore,Puppy'S Gastronomy,1000,2.9,"Continental,Italian,Snacks,Beverages",12.9767,77.5993,Locality (matched)
378002,Tarnaka  Nacharam & Malkajigiri,Hyderabad,Chutney Bowl,150,4.2,South Indian,17.423,78.539,Locality (matched)
378029,Piplod,Surat,Cafe Ashiana,200,2.9,"Fast Food,North Indian,Italian,Beverages",21.166,72.777,Locality (matched)
378076,Mehdipatnam,Hyderabad,The Hyderabad Chicken Haleem,150,3.2,Haleem,17.3952,78.438,Locality (matched)
378112,Kilpauk,Chennai,Kites Pure Veg Restaurant,280,2.9,Indian,13.085,80.241,Locality (matched)
378117,Shivaji Nagar,Pune,Chocolate Biclate,250,4.3,"Bakery,Desserts,Beverages",18.5308,73.8478,Locality (matched)
378150,South Kolkata,Kolkata,Fiery Drumstick,300,2.9,Chinese,22.5,88.345,Locality (matched)
378154,Vastrapur,Ahmedabad,Smokin' Joe'S,400,3.8,"Italian,Pizzas,Continental,Italian-American",23.039,72.529,Locality (matched)
378157,South Kolkata,Kolkata,Zeeshan D.P. Park,250,4.4,"Tandoor,Snacks,Biryani",22.5,88.345,Locality (matched)
378205,Annanagar,Chennai,The Asian Hive,300,4.3,"Chinese,Thai,Asian",13.085,80.2101,Locality (matched)
378321,Punjabi Bagh,Delhi,Shakespeare Cafe (Punjabi Bagh),400,2.9,"Indian,Tandoor,Chinese",28.665,77.131,Locality (matched)
378370,Sinhgad Road,Pune,Italian Hut,199,4.4,"Continental,Italian",18.47,73.825,Locality (matched)
378411,Lake Town,Kolkata,Bangaliana,200,3.8,"Indian,North Indian",22.605,88.395,Locality (matched)
378436,Lake Town,Kolkata,Ketana,250,4.4,Indian,22.605,88.395,Locality (matched)
378469,North Dumdum,Kolkata,Dumghan,300,4.5,"Biryani,North Eastern,Kebabs,Indian",22.648,88.415,Locality (matched)
378475,Dumdum,Kolkata,Ananda Mela Confectionery,300,2.9,"Indian,Bakery,Biryani",22.642,88.42,Locality (matched)
378482,Salt Lake,Kolkata,Club Loca,200,2.9,Continental  Indian  Chinese,22.585,88.418,Locality (matched)
378508,South Kolkata,Kolkata,Gangotri Sweets And Snacks,200,4.3,Sweets  Snacks  Chaat,22.5,88.345,Locality (matched)
378527,Kalyani Nagar,Pune,Belly Tales,400,3.9,"North Indian,Chinese,Combo,Pizzas,Beverages",18.5479,73.9014,Locality (matched)
378594,Adajan,Surat,Bro Sis Fast Food Corner,350,2.9,"Fast Food,Italian",21.196,72.78,Locality (matched)
378719,Indiranagar,Bangalore,Cloud Kitchen Chinni Con Cook,300,2.9,"Continental,Indian,Chinese,Beverages",12.9719,77.6412,Locality (matched)
378734,T Nagar,Chennai,The Degh Story,900,2.9,"North Indian,Biryani,Hyderabadi,Indian",13.0418,80.2341,Locality (matched)
378796,Kothrud,Pune,Shivtirth Vadapav,200,3.7,"Indian,Snacks",18.5074,73.8077,Locality (matched)
378854,Piplod,Surat,The Wrap Co,350,3.9,"North Indian,Snacks",21.166,72.777,Locality (matched)
378902,Piplod,Surat,Engine Cafe,200,4,"Indian,Continental,Chinese",21.166,72.777,Locality (matched)
378921,Marol Sakinaka,Mumbai,Orange Cakes And Bakers,500,4.1,"Bakery,Desserts",19.1073,72.8873,Locality (matched)
379007,South Kolkata,Kolkata,Tbc Bowlz,200,4.4,"Indian,Chinese,Continental",22.5,88.345,Locality (matched)
379013,Andheri East,Mumbai,Dooodly Meals,400,2.9,North Indian,19.1136,72.8697,Locality (matched)
379046,Basavanagudi,Bangalore,House Of Belgian,250,2.9,"Desserts,Beverages,Snacks",12.9422,77.576,Locality (matched)
379083,Perambur,Chennai,Hotel Vada Chennai,350,3.8,"Arabian,South Indian,Grill,Barbecue,Chinese,Biryani,Combo,Ice Cream,Juices,Beverages",13.1155,80.234,Locality (matched)
379100,Shivaji Nagar,Pune,Rajmandir Ice Cream,150,4,"Ice Cream,Desserts,Beverages",18.5308,73.8478,Locality (matched)
379121,Mylapore,Chennai,The Nosh,200,2.9,"Fast Food,Beverages,Indian,Tandoor",13.0339,80.2695,Locality (matched)
379173,Maninagar,Ahmedabad,Lemon Restaurant,300,2.9,"South Indian,Continental,Chinese",22.996,72.603,Locality (matched)
379218,Santacruz Bandra East,Mumbai,Big Binge Co,100,4.7,"Asian,Mexican,Snacks,Fast Food",19.0596,72.841,Locality (substring match: 'bandra east')
379224,Annanagar,Chennai,Gita'S Homemade,200,2.9,"Andhra,South Indian,Indian",13.085,80.2101,Locality (matched)
379251,Malleshwaram,Bangalore,Shawarma21,150,4.3,"Arabian,Fast Food",13.0035,77.5647,Locality (matched)
379271,Bibwewadi,Pune,Surprise India - Cakes & Desserts,300,4.1,Bakery,18.475,73.863,Locality (matched)
379273,Vastrapur,Ahmedabad,Haanji Amritsari Kulcha,300,3,"North Indian,Snacks",23.039,72.529,Locality (matched)
379281,Salt Lake,Kolkata,Rita'S Cafe,300,4.5,"South Indian,Snacks,Beverages",22.585,88.418,Locality (matched)
379342,Alwarpet,Chennai,Flipside (Burgers And Sides),750,4.4,American,13.0339,80.254,Locality (matched)
379359,Tarnaka Nacharam & Malkajigiri,Hyderabad,Maharashtrian Kitchen,200,2.9,Maharashtrian,17.423,78.539,Locality (matched)
379495,Central Kolkata,Kolkata,Karim'S,250,4.2,Mughlai,22.57,88.355,Locality (matched)
379497,Athwa,Surat,Amar Bhandari Tiffin House,200,2.9,"Indian,Seafood",21.178,72.793,Locality (matched)
379518,Paschim Vihar,Delhi,Durga Dosa Corner,200,4.2,"South Indian,Chinese",28.6692,77.1013,Locality (matched)
379616,Marol Sakinaka,Mumbai,New Shalimar Cold Drink House,120,2.9,"Desserts,South Indian,Pizzas,Fast Food,Juices,Snacks",19.1073,72.8873,Locality (matched)
379687,Tolichowki,Hyderabad,Fried Chicken Hub,325,4.2,Continental,17.4001,78.418,Locality (matched)
379718,Perambur,Chennai,Adyar Vaishanava S Thattu Idli Kadai,300,4.1,South Indian,13.1155,80.234,Locality (matched)
379740,Marol Sakinaka,Mumbai,Dil Ki Meal,300,4.5,"Combo,American",19.1073,72.8873,Locality (matched)
